,Date,Source,Bt-med,Bt-min,Bt-max,Bx-med,Bx-min,Bx-max,By-med,By-min,By-max,Bz-med,Bz-min,Bz-max,Phi-mean,Phi-min,Phi-max,Theta-med,Theta-min,Theta-max,Dens-med,Dens-min,Dens-max,Speed-med,Speed-min,Speed-max,Temp-med,Temp-min,Temp-max,latitude,max_fluctuations,kp_indices
1,2019-05-04,1,4.35,2.24,11.02,2.11,-4.73,10.15,-1.58,-7.00,2.56,-0.6,-5.59,6.06,311.96,1.22,359.09,-11.22,-75.92,62.22,6.87,3.50,9.10,482.00,391.50,515.40,179360,55436,303319,-12.51344065363954,16.14289317315827,-0.02168134628277396
3,2019-05-06,2,4.01,2.73,5.13,1.84,-2.55,4.80,-2.31,-4.59,2.38,-0.64,-3.67,2.83,310.07,2.40,356.82,-9.02,-58.66,66.19,4.35,1.40,7.36,373.80,322.50,392.80,42878,12791,75843,-11.9581910446542,16.14289317315827,0.00608113416649303
4,2019-05-07,1,3.73,1.28,4.70,2.13,-1.02,3.94,-0.7,-4.21,3.02,-0.54,-3.74,3.16,342.98,1.42,357.42,-12.48,-74.22,53.41,4.70,2.37,11.02,351.90,327.40,382.20,29746,11704,55111,-13.178536724637299,16.14289317315827,-0.05493614983266193
5,2019-05-08,1,2.62,0.86,3.37,2.18,0.59,3.09,-0.03,-1.08,1.52,1.09,-0.31,1.87,0.47,0.24,359.78,28.47,-8.41,54.93,9.84,8.17,16.65,326.40,307.40,341.50,12476,7815,16210,24.093225209472575,16.14289317315827,1.8086519468728317
6,2019-05-09,1,4.16,1.04,7.85,1.66,-4.09,4.48,-1.14,-6.66,4.09,-0.13,-5.57,6.52,322.96,1.75,357.92,-1.77,-60.68,58.65,9.37,4.77,21.64,364.30,304.30,390.80,61257,11286,97191,-3.686014533330921,16.14289317315827,0.419689959732657
7,2019-05-10,1,3.94,2.91,10.85,2.41,-0.60,8.94,-2.62,-9.04,-0.12,-1.8,-8.24,2.72,311.78,253.98,354.64,-24.39,-71.34,28.73,5.17,3.33,18.84,356.30,327.30,386.10,45987,23802,72039,-24.286588072390234,16.14289317315827,-0.6103387172203087
8,2019-05-11,1,9.21,6.88,12.26,2.95,-1.12,6.01,2.94,-11.29,7.32,-6.33,-11.18,3.30,27.19,2.75,350.85,-46.82,-73.10,25.25,2.80,0.33,22.04,351.40,330.70,463.50,11262,5000,51252,-39.875158515354975,16.14289317315827,-1.3897672393685456
10,2019-05-13,2,7.60,3.71,11.29,3.7,-6.68,8.00,-1.71,-6.97,8.52,-1.37,-8.66,5.46,1.78,1.66,357.40,-10.27,-81.69,61.30,5.26,2.08,18.14,349.70,309.40,469.00,52365,10268,324601,-17.671672741690593,16.14289317315827,-0.2795929506853265
12,2019-05-15,2,8.59,5.86,10.12,2.37,-7.85,7.50,-1.99,-8.51,6.85,6.56,2.68,9.05,322.74,13.85,355.23,52.86,18.18,71.60,8.71,1.45,16.97,431.30,408.10,482.90,36745,6180,265801,42.12662772105636,16.14289317315827,2.710322072452021
13,2019-05-16,1,5.95,3.09,8.29,-1.68,-6.32,2.15,3.51,-5.98,6.04,0.82,-6.94,6.78,129.93,43.54,316.48,8.22,-69.95,74.17,11.91,5.51,17.85,440.60,413.80,461.50,230011,71024,322189,11.650883033355656,16.14289317315827,1.186534838066986
14,2019-05-17,1,4.94,3.84,5.90,2.39,-3.08,4.88,2.87,-2.34,4.88,2.16,-1.70,5.16,41.31,7.35,349.92,24.06,-18.78,79.08,11.84,6.95,19.62,448.30,391.80,468.70,176382,61881,274823,26.5944504646931,16.14289317315827,1.933713209633858
15,2019-05-18,1,5.34,3.50,7.08,0.23,-5.09,5.98,3.84,0.05,6.61,1.22,-4.42,4.36,87.50,22.38,177.76,14.63,-43.01,67.65,2.49,0.85,11.07,413.90,376.80,440.80,43141,18316,174369,16.820157129862565,16.14289317315827,1.4449985428923313
16,2019-05-19,1,4.80,3.37,7.41,-1.79,-5.22,3.75,3.4,0.40,6.02,0.17,-5.71,3.44,109.96,32.58,175.55,2.08,-54.70,46.17,2.28,0.60,15.49,383.80,355.90,418.70,34646,18955,52940,2.5308176108706824,16.14289317315827,0.7305315669427372
17,2019-05-20,1,5.61,3.82,8.67,-1.27,-5.15,3.19,3.96,-5.99,8.00,1.75,-4.29,7.08,117.90,52.72,272.08,19.59,-40.24,77.47,4.46,1.66,14.17,390.90,358.70,413.70,64247,32924,129984,21.199555270144238,16.14289317315827,1.663968449906415
18,2019-05-21,1,4.38,2.68,4.99,-3.45,-4.55,3.00,2.09,-0.47,4.72,0.94,-2.59,2.64,142.09,44.21,187.84,13.51,-45.28,36.44,2.88,1.62,4.67,404.50,350.40,430.10,46206,18889,97261,12.787036124632595,16.14289317315827,1.2433424926308327
19,2019-05-22,1,2.92,0.86,4.80,1.45,-3.94,3.27,-1.22,-4.02,2.88,-0.33,-3.01,2.14,287.32,84.65,345.72,-7.09,-62.56,57.60,8.36,2.45,11.28,359.50,342.60,396.40,28938,22466,77385,-9.735086718496182,16.14289317315827,0.11723635047439396
20,2019-05-23,1,4.96,2.13,6.62,2.46,-3.98,4.96,-2.71,-6.08,2.58,-0.69,-5.33,3.66,310.84,3.59,354.77,-8.34,-66.40,59.31,6.54,2.10,13.93,341.30,328.80,370.40,30418,20156,51648,-10.495645545162155,16.14289317315827,0.07920840914109528
21,2019-05-24,1,4.07,1.34,5.67,2.08,-1.79,5.04,-2.68,-5.35,0.13,-0.14,-3.97,2.70,309.18,9.57,355.16,-2.35,-53.69,38.01,5.95,2.52,16.80,339.20,309.20,361.70,26932,18127,95165,-2.3611316840511214,16.14289317315827,0.485934102196647
22,2019-05-25,1,3.25,0.59,4.74,-1.31,-3.95,2.37,0.77,-2.71,3.42,-0.01,-3.30,2.98,148.52,3.87,356.06,-0.14,-70.37,63.24,8.67,4.38,14.41,312.50,297.20,343.00,22538,14730,32984,-0.37704656844784734,16.14289317315827,0.5851383579768107
23,2019-05-26,1,1.76,0.53,6.46,0.09,-3.14,2.16,0.07,-2.11,2.39,0.14,-4.17,5.90,99.54,2.89,355.86,4.80,-78.93,84.74,5.13,2.90,18.58,320.80,299.00,362.20,17204,11173,80366,37.78958072732092,16.14289317315827,2.4934697227652487
24,2019-05-27,1,10.20,5.19,12.00,0.27,-3.16,3.57,-9.27,-11.92,3.30,0.52,-8.38,9.76,273.07,49.07,330.51,2.71,-80.75,82.14,6.10,2.92,22.46,345.80,312.30,379.00,22493,8038,56044,3.204257255606708,16.14289317315827,0.7642035491795385
25,2019-05-28,1,6.86,3.97,9.38,1.57,-3.37,5.82,-5.47,-7.38,1.14,1.2,-7.19,7.57,286.55,16.94,347.90,10.89,-78.36,70.98,6.48,3.64,14.81,339.70,306.00,463.60,44350,29424,170014,11.658102153104911,16.14289317315827,1.1868957940544487
26,2019-05-29,2,4.39,1.77,9.86,2.05,-3.80,5.58,-2.5,-7.71,3.10,-0.67,-7.99,6.88,306.93,3.75,357.60,-10.62,-76.86,75.46,6.19,4.26,12.35,531.30,461.50,560.10,155405,77553,206326,-11.470937250525001,16.14289317315827,0.03044382387295297
27,2019-05-30,1,3.77,1.57,4.98,0.49,-4.29,3.31,-1.64,-4.63,3.31,-0.02,-4.43,3.80,289.45,6.67,356.48,-0.25,-82.81,73.47,5.34,4.20,6.78,516.00,466.20,547.60,156931,110724,204299,-0.6694091519222919,16.14289317315827,0.5705202288030885
28,2019-05-31,1,2.34,1.28,3.87,0.91,-2.49,2.71,-1.15,-3.59,2.72,-0.44,-2.60,2.25,303.54,1.11,356.06,-10.72,-72.03,53.39,2.83,1.16,6.41,429.80,368.30,507.10,60301,32222,177369,-16.033550683111358,16.14289317315827,-0.1976868477563648
29,2019-06-01,1,2.71,1.77,3.54,1.42,-1.31,2.79,-1.51,-3.09,2.45,-0.3,-2.99,2.06,322.22,2.34,357.49,-6.75,-67.60,69.54,1.51,0.26,6.78,350.80,333.40,388.60,24737,5025,47363,-8.15155923771219,16.14289317315827,0.19641272451359354
30,2019-06-02,1,2.71,1.45,4.69,0.35,-2.59,4.13,-1.63,-3.17,2.27,-0.62,-3.04,2.18,285.89,2.88,358.30,-15.22,-71.06,43.15,4.81,2.48,7.34,321.00,294.20,339.30,22791,17505,33269,-19.216906242638956,16.14289317315827,-0.35685462573274473
31,2019-06-03,1,3.54,1.47,6.22,-0.84,-3.77,2.21,-1.34,-5.74,3.94,-0.01,-3.83,4.51,248.32,17.20,349.92,-0.12,-76.32,69.10,9.71,2.97,18.41,310.30,294.30,328.80,19341,9829,41880,-0.36227131987332867,16.14289317315827,0.5858771204055366
32,2019-06-04,1,5.50,2.21,8.06,-0.39,-4.16,2.28,-0.44,-7.35,6.01,-2.54,-7.30,3.56,202.69,12.20,327.60,-31.34,-79.64,38.62,7.12,3.22,12.75,329.70,320.30,347.70,20370,10848,61948,-44.25241343737198,16.14289317315827,-1.6086299854693957
33,2019-06-05,1,4.19,2.49,5.84,2.0,-3.98,3.94,-3.17,-5.30,0.38,0.07,-3.75,3.11,302.06,5.24,354.61,0.94,-55.70,54.37,4.12,3.02,7.98,329.50,309.10,357.10,30243,10974,66914,1.0697278974568252,16.14289317315827,0.6574770812720443
34,2019-06-06,1,2.70,0.83,4.21,1.43,-1.95,3.30,-1.16,-3.95,0.66,-0.55,-2.16,1.62,313.20,2.59,355.08,-14.17,-71.71,25.68,3.98,2.76,6.07,312.70,293.40,329.20,20706,9022,30319,-15.97124052263135,16.14289317315827,-0.1945713397323644
35,2019-06-07,1,5.24,1.98,6.51,0.13,-2.49,2.30,-4.75,-6.47,0.81,-1.42,-3.24,1.76,272.42,27.92,344.58,-20.52,-51.97,21.28,7.64,2.92,13.38,293.80,282.60,308.70,11750,8059,32318,-15.977692245346416,16.14289317315827,-0.1948939258681177
36,2019-06-08,1,7.44,3.37,18.22,-1.11,-7.96,7.71,-4.48,-13.86,13.75,-0.45,-16.11,13.60,258.06,70.96,331.59,-4.58,-74.74,75.13,11.32,5.90,59.06,298.80,269.30,421.20,25544,7507,155833,-5.542526618248903,16.14289317315827,0.3268643554867579
38,2019-06-10,2,2.92,1.70,4.13,0.7,-3.15,2.87,-1.68,-3.61,1.09,0.44,-2.47,2.52,288.01,1.31,358.63,9.46,-70.98,60.48,2.44,1.33,6.18,344.72,324.80,376.30,22009,13034,80427,13.223930050318708,16.14289317315827,1.2651871889151385
39,2019-06-11,1,3.20,2.54,4.35,1.03,-2.14,3.95,-2.16,-3.55,0.96,-0.17,-3.92,2.79,292.40,2.12,357.79,-3.19,-82.66,53.54,5.08,2.84,9.59,311.80,302.40,338.00,17989,11556,41146,-4.053297272754301,16.14289317315827,0.40132582276148804
40,2019-06-12,1,4.79,1.35,7.95,-0.76,-6.84,4.51,1.55,-3.98,6.19,0.51,-4.32,2.93,119.09,14.82,352.02,6.51,-63.50,51.82,5.16,2.07,24.33,329.50,298.70,403.10,32430,16543,92669,15.818730158182724,16.14289317315827,1.3949271943083392
41,2019-06-13,1,6.62,3.72,8.45,-3.92,-6.76,2.18,3.9,-2.93,7.20,0.32,-6.65,6.40,134.39,45.98,265.64,2.90,-77.20,74.75,6.54,3.33,10.00,418.90,381.90,484.50,91270,45793,172230,3.3065182693233095,16.14289317315827,0.7693165998653686
42,2019-06-14,1,4.18,1.87,7.52,-1.82,-5.32,2.20,2.92,-2.41,6.93,0.19,-3.93,6.15,123.54,30.37,255.07,2.85,-57.75,68.36,6.46,5.32,9.25,456.20,424.70,483.50,114534,57902,146557,3.1558891676150225,16.14289317315827,0.7617851447799542
43,2019-06-15,1,4.29,2.22,5.86,-1.02,-4.74,4.39,2.55,-1.64,5.61,-0.3,-3.76,2.07,112.63,2.90,356.55,-4.42,-44.04,27.90,5.77,1.77,7.30,378.10,342.10,428.10,41732,25740,118793,-6.197275864355688,16.14289317315827,0.29412689318141866
